Date;Nombre total de transactions;HTTP server errors (5xx);Nombre de transactions lentes (>6s);HTTP server time
01/12/2016;39,6;35;871;277
01/01/2017;40,7;78;711;218
01/02/2017;28,8;124;892;462
01/03/2017;33,2;156;370;961
01/04/2017;30,2;226;155;945
01/05/2017;28;1667;1305;607
01/06/2017;0;0;0;0
01/07/2017;27,5;105;571;398
01/08/2017;21,8;360;703;657
01/09/2017;17,6;51;805;652
01/10/2017;33,7;134;2398;449
01/11/2017;37,2;755;1880;843
01/12/2017;28,4;356;885;536
01/01/2018;30,2;86;693;201
01/02/2018;20,2;128;553;322
01/03/2018;26,5;1301;815;541
01/04/2018;33,1;3392;1021;910
01/05/2018;60,2;3740;2308;1116
01/06/2018;58,1;2961;1933;937
01/07/2018;70;2308;1253;462
01/08/2018;46,8;838;715;338
01/09/2018;53,3;1066;819;344
01/10/2018;53,4;877;918;395
01/11/2018;68,4;1244;1116;398
01/12/2018;54,6;859;1090;415
01/01/2019;65,3;1171;1153;387
01/02/2019;77,5;1643;898;318
01/03/2019;89,1;2319;1486;413
01/04/2019;91,1;1760;1415;403
01/05/2019;82,8;1390;1191;377
01/06/2019;75;1776;958;344
01/07/2019;97;1610;1271;364
01/08/2019;66;752;832;336
01/09/2019;92;1222;1409;299
01/10/2019;83;971;881;275
01/11/2019;92;1438;1270;314
01/12/2019;70;603;360;146
01/01/2020;101;1776;595;169
01/02/2020;75;821;470;191
01/03/2020;74;673;471;156
